a,b,c,pos,vel,acc
10.0,10.0,10.0,"(99.41666666666666, 12353.937079537365, 915.5096335985381)","(99.75, 10585.490188838186, 460.85065341278323)","(99.91666666666667, 3871.908032202457, 147.9518720763834)"
10.0,10.0,29.76351441631318,"(99.41666666666666, 8662.12256855536, 996.8693562284623)","(99.75, 8676.259693941496, 596.904167592221)","(99.91666666666667, 3693.5969796393956, 231.6184766114087)"
10.0,10.0,88.58667904100822,"(86.75, 5417.863530962975, 1086.972611138884)","(92.0, 6514.238758107107, 778.3785688462963)","(93.5, 3253.2825783237613, 363.84996388696777)"
10.0,10.0,263.6650898730358,"(74.25, 3805.467627600717, 1185.7754926775483)","(82.75, 5550.048667631187, 1018.6029735196744)","(84.75, 3388.6626444846697, 572.6147869034726)"
10.0,10.0,784.7599703514607,"(57.58333333333333, 2145.659565979592, 1293.4713862509557)","(66.41666666666667, 3608.32148202146, 1335.380896631229)","(68.58333333333333, 2750.0265386407646, 902.0631043132366)"
10.0,10.0,2335.7214690901214,"(47.333333333333336, 1109.9748678953906, 1410.3766977844207)","(53.333333333333336, 2281.4639664736465, 1752.3273703090033)","(55.333333333333336, 2005.270635304394, 1421.9169525119846)"
10.0,10.0,6951.927961775606,"(38.25, 772.4990493143359, 1536.8471379260718)","(42.333333333333336, 1398.7986602350152, 2300.6385508840594)","(43.833333333333336, 1375.5201278331533, 2242.328982400331)"
10.0,10.0,20691.3808111479,"(28.999999999999996, 709.8906953582836, 1673.2137564185787)","(34.416666666666664, 1149.4743268907393, 3021.4470315926637)","(34.91666666666667, 984.1834094753298, 3537.4238629866977)"
10.0,10.0,61584.82110660255,"(18.666666666666668, 680.341810185399, 1819.7271653127582)","(25.916666666666664, 1214.3429553167603, 3968.9568778661383)","(26.416666666666664, 1126.374247590178, 5582.644935450729)"
10.0,10.0,183298.07108324338,"(6.583333333333333, 715.7450936624236, 1976.5017166040627)","(17.833333333333336, 1540.66650666057, 5214.6214795258975)","(18.666666666666668, 1606.076131723954, 8814.094492151422)"
