a,b,c,d,pos,vel,acc
0.1,0.1,0.1,0.1,"(915.6446370245947, 0.9941666666666666, 30870.048914369967)","(436.36657890373414, 0.9975, 21587.914420936122)","(161.51808132255653, 0.9991666666666666, 8300.06220400194)"
0.1,0.1,0.1,1.6681005372000592,"(1060.6903303894946, 0.99, 17154.430295649265)","(677.1961501913426, 0.9891666666666666, 16857.570542811845)","(300.34285166081776, 0.99, 8868.635352454183)"
0.1,0.1,0.1,27.825594022071257,"(1240.1773886228166, 0.9466666666666667, 8501.764990985143)","(1103.9839623879247, 0.9975, 12077.263378762222)","(650.3277164262337, 0.9991666666666666, 8755.480584197778)"
0.1,0.1,0.1,464.1588833612782,"(1456.2456079411793, 0.6591666666666667, 4488.882316971327)","(1845.9153919921116, 0.7516666666666667, 9125.988068648292)","(1518.202094939153, 0.7983333333333333, 9061.112795958079)"
0.1,0.1,0.1,7742.636826811277,"(1711.4809382421165, 0.39666666666666667, 2344.48015002971)","(3123.480000726297, 0.485, 6497.749752392441)","(3653.5164771318186, 0.5025, 8817.077234575923)"
0.1,0.1,0.1,129154.96650148854,"(2007.2675690238543, 0.1425, 1280.8656943598078)","(5310.9384969887615, 0.2683333333333333, 4570.616521835855)","(8888.782961720714, 0.295, 8319.62661841508)"
0.1,0.1,0.1,2154434.6900318866,"(2342.4971510013315, 0.03833333333333333, 955.9130919400025)","(9046.388749864751, 0.08, 3909.603396281395)","(21728.536078846595, 0.0975, 8831.70503131389)"
0.1,0.1,0.1,35938136.638046406,"(2711.968199588137, 0.0125, 942.2806778466176)","(15426.077028345131, 0.018333333333333333, 4762.790085923804)","(53344.14290266131, 0.015833333333333335, 13371.354766152685)"
0.1,0.1,0.1,599484250.3189421,"(3104.3272416711025, 0.0033333333333333335, 1024.8141610824403)","(26358.537192807828, 0.0033333333333333335, 7221.951602531044)","(131813.97628426328, 0.0025, 27576.070394042054)"
0.1,0.1,0.1,10000000000.0,"(3500.01071683071, 0.0, 1149.9577949257264)","(45253.59967171171, 0.0008333333333333334, 12039.629306620267)","(329205.0005228853, 0.0008333333333333334, 65709.74094758397)"
0.1,0.1,1.6681005372000592,0.1,"(936.4048237822597, 0.9941666666666666, 24519.798951787136)","(467.8486326146252, 0.9975, 18664.233032395987)","(177.91444195595278, 0.9991666666666666, 7755.784092010372)"
0.1,0.1,1.6681005372000592,1.6681005372000592,"(1064.3170404066468, 0.9858333333333333, 15858.576775881145)","(684.9229876358726, 0.9866666666666667, 15848.646357307465)","(305.9635528660458, 0.9916666666666667, 8523.334296130033)"
